case=0 start=(220,92) goal=(194,65) dist=440 steps=38 (H=23,D=15) time=6ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=660898 | algo relax=355130 improved=46894 settled=46881
case=1 start=(146,202) goal=(132,191) dist=184 steps=14 (H=3,D=11) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=667920 | algo relax=355130 improved=46895 settled=46881
case=2 start=(254,112) goal=(222,219) dist=1330 steps=117 (H=77,D=40) time=6ms | PQ push=46881 pop=46881 dec=10 scans=0 moves=653074 | algo relax=355130 improved=46890 settled=46881
case=3 start=(87,83) goal=(107,246) dist=1710 steps=163 (H=143,D=20) time=5ms | PQ push=46881 pop=46881 dec=12 scans=0 moves=680620 | algo relax=355130 improved=46892 settled=46881
case=4 start=(24,153) goal=(58,201) dist=682 steps=59 (H=36,D=23) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=655554 | algo relax=355130 improved=46901 settled=46881
case=5 start=(51,230) goal=(11,23) dist=2392 steps=218 (H=165,D=53) time=5ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=638584 | algo relax=355130 improved=46903 settled=46881
case=6 start=(82,170) goal=(253,170) dist=1838 steps=171 (H=139,D=32) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=669400 | algo relax=355130 improved=46902 settled=46881
case=7 start=(93,77) goal=(69,195) dist=1332 steps=118 (H=80,D=38) time=5ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=689134 | algo relax=355130 improved=46903 settled=46881
case=8 start=(56,9) goal=(243,103) dist=2644 steps=232 (H=151,D=81) time=6ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=635038 | algo relax=355130 improved=46893 settled=46881
case=9 start=(141,38) goal=(226,56) dist=962 steps=85 (H=57,D=28) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=659756 | algo relax=355130 improved=46895 settled=46881
case=10 start=(250,121) goal=(148,125) dist=1068 steps=102 (H=90,D=12) time=5ms | PQ push=46881 pop=46881 dec=12 scans=0 moves=654432 | algo relax=355130 improved=46892 settled=46881
case=11 start=(178,15) goal=(37,71) dist=1634 steps=141 (H=85,D=56) time=5ms | PQ push=46881 pop=46881 dec=12 scans=0 moves=648158 | algo relax=355130 improved=46892 settled=46881
case=12 start=(157,140) goal=(160,138) dist=38 steps=3 (H=1,D=2) time=5ms | PQ push=46881 pop=46881 dec=12 scans=0 moves=702686 | algo relax=355130 improved=46892 settled=46881
case=13 start=(80,142) goal=(84,36) dist=1108 steps=106 (H=94,D=12) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=677578 | algo relax=355130 improved=46902 settled=46881
case=14 start=(125,82) goal=(171,180) dist=1218 steps=107 (H=70,D=37) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=692364 | algo relax=355130 improved=46893 settled=46881
case=15 start=(13,43) goal=(232,27) dist=2552 steps=234 (H=181,D=53) time=5ms | PQ push=46881 pop=46881 dec=31 scans=0 moves=641098 | algo relax=355130 improved=46911 settled=46881
case=16 start=(115,248) goal=(81,104) dist=1576 steps=144 (H=110,D=34) time=5ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=645400 | algo relax=355130 improved=46899 settled=46881
case=17 start=(17,151) goal=(51,167) dist=404 steps=34 (H=18,D=16) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=655374 | algo relax=355130 improved=46901 settled=46881
case=18 start=(79,126) goal=(122,205) dist=962 steps=79 (H=36,D=43) time=5ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=683802 | algo relax=355130 improved=46899 settled=46881
case=19 start=(126,184) goal=(79,206) dist=558 steps=47 (H=25,D=22) time=5ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=680252 | algo relax=355130 improved=46903 settled=46881
case=20 start=(171,101) goal=(172,89) dist=124 steps=12 (H=11,D=1) time=5ms | PQ push=46881 pop=46881 dec=42 scans=0 moves=675018 | algo relax=355130 improved=46922 settled=46881
case=21 start=(78,150) goal=(71,156) dist=94 steps=7 (H=1,D=6) time=5ms | PQ push=46881 pop=46881 dec=53 scans=0 moves=674230 | algo relax=355130 improved=46933 settled=46881
case=22 start=(6,76) goal=(23,104) dist=348 steps=28 (H=11,D=17) time=5ms | PQ push=46881 pop=46881 dec=34 scans=0 moves=646966 | algo relax=355130 improved=46914 settled=46881
case=23 start=(117,214) goal=(250,255) dist=1494 steps=133 (H=92,D=41) time=5ms | PQ push=46881 pop=46881 dec=26 scans=0 moves=663034 | algo relax=355130 improved=46906 settled=46881
case=24 start=(47,167) goal=(0,215) dist=848 steps=78 (H=61,D=17) time=5ms | PQ push=46881 pop=46881 dec=48 scans=0 moves=657492 | algo relax=355130 improved=46928 settled=46881
case=25 start=(41,230) goal=(251,46) dist=3640 steps=308 (H=168,D=140) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=637076 | algo relax=355130 improved=46902 settled=46881
case=26 start=(212,35) goal=(3,238) dist=3406 steps=289 (H=160,D=129) time=5ms | PQ push=46881 pop=46881 dec=9 scans=0 moves=649084 | algo relax=355130 improved=46889 settled=46881
case=27 start=(98,225) goal=(101,210) dist=162 steps=15 (H=12,D=3) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=655486 | algo relax=355130 improved=46902 settled=46881
case=28 start=(73,11) goal=(60,120) dist=1222 steps=109 (H=76,D=33) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=640848 | algo relax=355130 improved=46893 settled=46881
case=29 start=(185,156) goal=(173,163) dist=148 steps=12 (H=5,D=7) time=5ms | PQ push=46881 pop=46881 dec=24 scans=0 moves=670018 | algo relax=355130 improved=46904 settled=46881
case=30 start=(29,46) goal=(167,206) dist=2338 steps=191 (H=84,D=107) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=641306 | algo relax=355130 improved=46901 settled=46881
case=31 start=(41,234) goal=(226,33) dist=3434 steps=287 (H=146,D=141) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=636854 | algo relax=355130 improved=46902 settled=46881
case=32 start=(243,189) goal=(11,18) dist=3334 steps=275 (H=129,D=146) time=4ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=641750 | algo relax=355130 improved=46903 settled=46881
case=33 start=(5,10) goal=(30,88) dist=984 steps=90 (H=69,D=21) time=4ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=628202 | algo relax=355130 improved=46902 settled=46881
case=34 start=(51,74) goal=(37,3) dist=766 steps=71 (H=57,D=14) time=4ms | PQ push=46881 pop=46881 dec=16 scans=0 moves=655550 | algo relax=355130 improved=46896 settled=46881
case=35 start=(237,172) goal=(142,66) dist=1620 steps=136 (H=71,D=65) time=5ms | PQ push=46881 pop=46881 dec=16 scans=0 moves=648800 | algo relax=355130 improved=46896 settled=46881
case=36 start=(168,79) goal=(157,88) dist=152 steps=12 (H=4,D=8) time=5ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=679282 | algo relax=355130 improved=46897 settled=46881
case=37 start=(183,178) goal=(138,0) dist=2170 steps=201 (H=161,D=40) time=5ms | PQ push=46881 pop=46881 dec=33 scans=0 moves=664190 | algo relax=355130 improved=46913 settled=46881
case=38 start=(230,175) goal=(136,236) dist=1256 steps=106 (H=57,D=49) time=4ms | PQ push=46881 pop=46881 dec=16 scans=0 moves=649700 | algo relax=355130 improved=46896 settled=46881
case=39 start=(144,15) goal=(81,163) dist=1820 steps=160 (H=105,D=55) time=5ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=650428 | algo relax=355130 improved=46894 settled=46881
case=40 start=(47,0) goal=(247,225) dist=3462 steps=291 (H=153,D=138) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=632498 | algo relax=355130 improved=46893 settled=46881
case=41 start=(243,124) goal=(151,16) dist=1732 steps=150 (H=92,D=58) time=5ms | PQ push=46881 pop=46881 dec=10 scans=0 moves=654894 | algo relax=355130 improved=46890 settled=46881
case=42 start=(153,237) goal=(184,60) dist=1934 steps=177 (H=136,D=41) time=4ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=648374 | algo relax=355130 improved=46899 settled=46881
case=43 start=(85,215) goal=(170,124) dist=1466 steps=127 (H=78,D=49) time=5ms | PQ push=46881 pop=46881 dec=24 scans=0 moves=654046 | algo relax=355130 improved=46904 settled=46881
case=44 start=(142,132) goal=(0,5) dist=2226 steps=189 (H=105,D=84) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=712646 | algo relax=355130 improved=46898 settled=46881
case=45 start=(134,105) goal=(244,91) dist=1336 steps=116 (H=72,D=44) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=707168 | algo relax=355130 improved=46895 settled=46881
case=46 start=(10,155) goal=(212,147) dist=2368 steps=212 (H=150,D=62) time=4ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=654832 | algo relax=355130 improved=46902 settled=46881
case=47 start=(45,12) goal=(246,229) dist=3432 steps=292 (H=164,D=128) time=5ms | PQ push=46881 pop=46881 dec=16 scans=0 moves=632242 | algo relax=355130 improved=46896 settled=46881
case=48 start=(62,219) goal=(225,34) dist=3066 steps=263 (H=154,D=109) time=4ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=639854 | algo relax=355130 improved=46903 settled=46881
case=49 start=(114,0) goal=(8,250) dist=3308 steps=286 (H=174,D=112) time=4ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=649460 | algo relax=355130 improved=46898 settled=46881
case=50 start=(34,86) goal=(149,236) dist=2014 steps=159 (H=53,D=106) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=658044 | algo relax=355130 improved=46893 settled=46881
case=51 start=(25,141) goal=(247,11) dist=2818 steps=235 (H=118,D=117) time=5ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=662400 | algo relax=355130 improved=46894 settled=46881
case=52 start=(205,66) goal=(0,252) dist=3308 steps=288 (H=181,D=107) time=4ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=660154 | algo relax=355130 improved=46897 settled=46881
case=53 start=(120,241) goal=(140,206) dist=430 steps=35 (H=15,D=20) time=4ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=647370 | algo relax=355130 improved=46897 settled=46881
case=54 start=(134,229) goal=(36,117) dist=1646 steps=133 (H=54,D=79) time=4ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=653058 | algo relax=355130 improved=46901 settled=46881
case=55 start=(191,116) goal=(33,59) dist=1976 steps=174 (H=115,D=59) time=5ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=670158 | algo relax=355130 improved=46897 settled=46881
case=56 start=(147,121) goal=(40,113) dist=1392 steps=122 (H=79,D=43) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=710840 | algo relax=355130 improved=46895 settled=46881
case=57 start=(80,182) goal=(102,186) dist=236 steps=22 (H=18,D=4) time=4ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=662078 | algo relax=355130 improved=46902 settled=46881
case=58 start=(138,6) goal=(187,17) dist=534 steps=49 (H=38,D=11) time=4ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=649262 | algo relax=355130 improved=46893 settled=46881
case=59 start=(18,155) goal=(77,108) dist=946 steps=87 (H=68,D=19) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=655012 | algo relax=355130 improved=46902 settled=46881
case=60 start=(154,204) goal=(115,202) dist=398 steps=39 (H=37,D=2) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=663870 | algo relax=355130 improved=46895 settled=46881
case=61 start=(74,159) goal=(22,133) dist=902 steps=77 (H=44,D=33) time=5ms | PQ push=46881 pop=46881 dec=31 scans=0 moves=669752 | algo relax=355130 improved=46911 settled=46881
case=62 start=(14,157) goal=(89,222) dist=1124 steps=90 (H=34,D=56) time=4ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=654818 | algo relax=355130 improved=46902 settled=46881
case=63 start=(79,254) goal=(207,111) dist=2182 steps=183 (H=95,D=88) time=4ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=644056 | algo relax=355130 improved=46899 settled=46881
case=64 start=(255,2) goal=(161,213) dist=2680 steps=226 (H=121,D=105) time=4ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=638940 | algo relax=355130 improved=46894 settled=46881
case=65 start=(184,41) goal=(29,249) dist=3068 steps=264 (H=157,D=107) time=4ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=657460 | algo relax=355130 improved=46893 settled=46881
case=66 start=(187,59) goal=(47,44) dist=1608 steps=142 (H=95,D=47) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=664278 | algo relax=355130 improved=46893 settled=46881
case=67 start=(238,229) goal=(126,243) dist=1176 steps=112 (H=98,D=14) time=4ms | PQ push=46881 pop=46881 dec=53 scans=0 moves=628338 | algo relax=355130 improved=46933 settled=46881
case=68 start=(249,222) goal=(55,37) dist=3148 steps=264 (H=137,D=127) time=4ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=627208 | algo relax=355130 improved=46901 settled=46881
case=69 start=(163,64) goal=(181,54) dist=306 steps=27 (H=18,D=9) time=5ms | PQ push=46881 pop=46881 dec=10 scans=0 moves=672932 | algo relax=355130 improved=46890 settled=46881
case=70 start=(255,76) goal=(43,7) dist=3058 steps=265 (H=163,D=102) time=4ms | PQ push=46881 pop=46881 dec=9 scans=0 moves=651900 | algo relax=355130 improved=46889 settled=46881
case=71 start=(0,70) goal=(1,72) dist=24 steps=2 (H=1,D=1) time=5ms | PQ push=46881 pop=46881 dec=37 scans=0 moves=646224 | algo relax=355130 improved=46917 settled=46881
case=72 start=(250,14) goal=(206,238) dist=2622 steps=229 (H=146,D=83) time=4ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=639692 | algo relax=355130 improved=46897 settled=46881
case=73 start=(196,59) goal=(151,220) dist=1874 steps=171 (H=130,D=41) time=4ms | PQ push=46881 pop=46881 dec=20 scans=0 moves=661058 | algo relax=355130 improved=46900 settled=46881
